year,NEW (vz=0.65+l7+F10ε) 🔍,F10 ε=0.015 ★,F8 R5_CALM_BOOST,F7v3+E4 A:tilt=2.0,D5 vz=0.65/lmax=5.5,E4 Regime k_lt ◆,DH Dyn 2x3x [A],NDX 1x B&H
1974,15.24524468273417,15.24524468273417,15.24524468273417,15.24524468273417,15.24524468273417,15.24524468273417,21.81688142235401,-29.245631108998506
1975,-9.669336499283483,-9.669336499283483,-9.678850470187365,-8.025521658651433,-4.3469994531826455,-7.34825938800393,-2.5297772143794877,23.060819479393423
1976,69.42484421818492,69.42484421818492,69.42484421818452,69.0038343675553,56.714891710607475,68.44983447153146,36.36818125130577,21.005746339757792
1977,-16.766440061322115,-16.766440061322115,-16.766440061322015,-16.562673016975445,-11.714156941390721,-17.293414297782306,-2.2370443132442257,6.232908898190001
1978,111.6245992815606,111.6245992815606,111.6245992815605,106.3627662129255,78.47050934988526,107.13799991212514,43.04566810009351,11.120823540288454
1979,16.625376947376267,16.469331708543788,16.469331708543805,14.429990415919407,13.672156986497095,9.90905790430459,21.185899342689954,23.378388846771507
1980,64.41243426557827,61.88908878911017,61.86690529278165,60.974630223287065,53.782594187345886,60.07292138650193,48.98235007638462,30.245555746987336
1981,-30.027901508338488,-33.586292267717624,-33.586292267717674,-33.74375841971579,-28.570295315976203,-33.9681225118766,-20.870463704853858,-3.1336225483130886
1982,75.0485791243639,73.74088701939321,73.74088701939317,73.963836393939,71.81886317521092,74.88661297116256,79.68933380269124,15.604167285092652
1983,8.387325538786003,6.595309239447365,6.615871358214208,3.467864876155194,6.955653868354485,2.2697737795589807,23.029094586963367,17.22480678346514
1984,-14.115251061274833,-18.809618717848664,-18.80961871784871,-19.082544798269485,-12.757962148874185,-19.231481905355203,-3.6005904846688295,-9.09752826345265
1985,114.38815634837853,118.69317155109933,118.70228657521338,119.23637642729491,93.3868674284345,122.76823464510261,48.81632189754914,26.57856917231155
